                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1325,                 2.0202,                 1.4321,                0.00438,                0.30189,                0.00492,                0.00143,                 2.8794,                 3403.2,                 9.1216,                0.00048,                0.00048,                0.00048
                      1,                 1.2139,                 1.3163,                 1.4458,                 0.0017,                0.50943,                0.00189,                0.00152,                 3.5265,              2.946e+06,                  33701,              0.0009703,              0.0009703,              0.0009703
                      2,                 1.3655,                 1.1668,                 1.5559,                 0.0017,                0.50943,                0.00189,                0.00152,                 5.6028,             9.5738e+06,                  98852,              0.0014507,              0.0014507,              0.0014507
                      3,                 1.3143,                 1.0878,                 1.5317,                 0.0017,                0.50943,                0.00189,                0.00152,                 3.8714,             5.0503e+05,                 3186.5,              0.0019212,              0.0019212,              0.0019212
                      4,                 1.2397,                0.88578,                 1.4947,                0.00191,                0.28302,                0.00152,                0.00033,                 4.0494,             8.3678e+05,                  26361,              0.0019208,              0.0019208,              0.0019208
                      5,                 1.1833,                0.82106,                 1.4219,                0.00191,                0.28302,                0.00152,                0.00033,                      0,                 4612.6,                      0,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1971,                0.79017,                 1.4478,                0.00047,                0.01887,                0.00024,                 0.0001,                 3.8887,                 187.52,                 7.7787,               0.001901,               0.001901,               0.001901
                      7,                   1.15,                0.72428,                 1.3989,                0.00139,                 0.0566,                0.00045,                  6e-05,                 4.7008,                 3383.2,                  38.06,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1143,                0.71728,                 1.3613,                0.00139,                 0.0566,                0.00045,                  6e-05,                 4.4695,                 8.8496,                 5.4557,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1072,                0.71502,                  1.364,                0.93285,                0.78642,                0.87448,                0.61429,                 1.1307,                 1.4777,                 1.5844,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1578,                0.70479,                 1.4048,                0.89271,                0.94201,                0.93889,                 0.6361,                 1.1894,                 1.3503,                 1.6905,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0653,                0.64064,                 1.3192,                0.10696,                 0.0566,                0.02723,                0.01743,                 3.3171,                 5.6267,                 3.5625,               0.001802,               0.001802,               0.001802
                     12,                 1.0951,                0.62914,                 1.3651,                0.69478,                0.60134,                0.61855,                0.39245,                 1.7884,                 1.4277,                 2.4603,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0197,                0.60313,                 1.2644,                0.31987,                0.15094,                0.13523,                0.06914,                  3.343,                 4.3155,                 5.1865,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0527,                 0.6422,                 1.3262,                0.87466,                0.92173,                0.93033,                0.63352,                 1.1081,                0.78568,                 1.5319,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0093,                0.58898,                 1.2851,                0.90251,                0.87338,                0.95171,                0.66977,                 1.0612,                0.96835,                  1.421,              0.0017228,              0.0017228,              0.0017228
                     16,                0.99111,                0.58442,                 1.2972,                 0.9609,                0.92754,                0.97479,                0.69266,                 1.1073,                0.61525,                 1.4875,               0.001703,               0.001703,               0.001703
                     17,                 1.0061,                0.57308,                 1.2895,                0.94804,                 0.9434,                0.96739,                0.70337,                  1.052,                0.73306,                 1.4435,              0.0016832,              0.0016832,              0.0016832
                     18,                0.99368,                0.58183,                 1.2827,                0.97883,                0.96226,                0.97679,                0.72003,                 1.0249,                0.63892,                 1.4395,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0057,                0.56955,                 1.2906,                0.89446,                0.79963,                0.89612,                0.65937,                 1.0051,                0.80059,                 1.3909,              0.0016436,              0.0016436,              0.0016436
                     20,                0.98787,                0.57433,                 1.2435,                0.94499,                0.97242,                0.96674,                0.71498,                 1.0109,                0.64883,                 1.4254,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0168,                0.58438,                 1.3098,                0.97522,                 0.9434,                0.97718,                0.71452,                 1.0093,                0.62062,                 1.3775,               0.001604,               0.001604,               0.001604
                     22,                0.96907,                0.53624,                 1.2576,                0.98014,                0.93106,                0.98066,                0.70887,                 1.0286,                0.52768,                 1.3921,              0.0015842,              0.0015842,              0.0015842
                     23,                   1.02,                0.58719,                 1.2996,                0.94714,                 0.9434,                0.98046,                 0.7137,                 1.0275,                 0.5499,                 1.4003,              0.0015644,              0.0015644,              0.0015644
                     24,                0.98075,                0.53076,                 1.2691,                0.96224,                0.96172,                0.98318,                0.72325,                0.99881,                 0.5227,                 1.4008,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.9963,                0.54618,                 1.2378,                0.85993,                0.92453,                0.95667,                0.67964,                 1.0367,                0.64927,                  1.415,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0186,                0.53012,                 1.2749,                0.94513,                0.97508,                0.97905,                0.72478,                 1.0053,                0.53216,                 1.3643,               0.001505,               0.001505,               0.001505
                     27,                0.95985,                0.53151,                 1.2429,                0.95902,                0.98113,                0.98104,                0.72126,                   1.01,                0.51241,                 1.4111,              0.0014852,              0.0014852,              0.0014852
                     28,                0.95743,                0.50925,                 1.2244,                0.97811,                0.98113,                0.98285,                0.71923,                 1.0132,                0.51433,                  1.416,              0.0014654,              0.0014654,              0.0014654
                     29,                0.93088,                0.50687,                 1.2113,                0.97733,                 0.9434,                 0.9597,                0.70868,                 1.0053,                 0.4922,                 1.4037,              0.0014456,              0.0014456,              0.0014456
                     30,                0.97484,                0.52299,                 1.2596,                0.97845,                0.98113,                 0.9758,                0.71881,                0.98485,                0.47738,                 1.3658,              0.0014258,              0.0014258,              0.0014258
                     31,                0.91531,                0.48529,                 1.2184,                0.96195,                0.95397,                0.98183,                0.70806,                0.97622,                0.54766,                 1.4054,               0.001406,               0.001406,               0.001406
                     32,                0.90192,                0.46827,                  1.214,                0.96216,                0.95965,                0.98014,                0.73255,                0.94737,                0.45834,                 1.3948,              0.0013862,              0.0013862,              0.0013862
                     33,                0.94747,                0.49279,                 1.2294,                0.96274,                0.97521,                0.97466,                0.71807,                0.98617,                0.47723,                 1.4019,              0.0013664,              0.0013664,              0.0013664
                     34,                0.92935,                0.48055,                 1.2271,                0.98069,                0.98113,                0.98549,                0.73771,                0.93696,                0.42801,                 1.3708,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90151,                0.47048,                 1.1986,                0.98107,                0.97804,                0.98474,                0.70745,                 1.0158,                0.46184,                 1.4255,              0.0013268,              0.0013268,              0.0013268
                     36,                0.91262,                0.48068,                 1.2075,                0.97547,                0.98113,                0.98314,                0.74453,                 1.0102,                0.48643,                 1.3836,               0.001307,               0.001307,               0.001307
                     37,                 0.9333,                0.47925,                 1.2182,                0.97535,                0.96226,                0.98051,                0.71855,                 1.0237,                0.50321,                  1.433,              0.0012872,              0.0012872,              0.0012872
                     38,                0.97298,                0.49615,                 1.2509,                0.97392,                0.96226,                0.98319,                 0.7448,                 1.0063,                0.47521,                 1.3925,              0.0012674,              0.0012674,              0.0012674
                     39,                0.89822,                0.47776,                 1.2311,                0.98071,                0.95923,                0.97959,                0.72408,                0.96853,                 0.4947,                 1.3436,              0.0012476,              0.0012476,              0.0012476
                     40,                0.89199,                0.46306,                 1.1959,                0.98108,                0.97845,                0.98398,                0.72826,                 1.0211,                0.47652,                 1.4008,              0.0012278,              0.0012278,              0.0012278
                     41,                0.88539,                0.45789,                 1.2244,                0.98109,                0.97871,                0.97701,                0.73184,                0.96783,                0.43918,                 1.3856,               0.001208,               0.001208,               0.001208
